ortho	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemlivres	Lexique3__islem
a	avoir	AUX	12800.81	0
a	a	NOM	58.65	1
a	avoir	VER	6426.49	0
a capella	a capella	ADV	0.07	1
a cappella	a cappella	ADV	0.07	1
a contrario	a contrario	ADV	0.27	1
a fortiori	a fortiori	ADV	0.88	1
a giorno	a giorno	ADV	0.27	1
a jeun	à jeun	ADV	3.85	0
a l'instar	a l'instar	PRE	0.0	1
a posteriori	a posteriori	ADV	0.2	1
a priori	a priori	NOM	0.47	1
a priori	a priori	ADV	3.85	1
aa	aa	NOM	0.0	1
ab absurdo	ab absurdo	ADV	0.07	1
ab initio	ab initio	ADV	0.07	1
ab ovo	ab ovo	ADV	0.27	1
abaca	abaca	NOM	0.0	1
abaissa	abaisser	VER	18.04	0
abaissai	abaisser	VER	18.04	0
abaissaient	abaisser	VER	18.04	0
abaissait	abaisser	VER	18.04	0
abaissant	abaisser	VER	18.04	0
abaissant	abaissant	ADJ	0.27	1
abaissante	abaissant	ADJ	0.27	0
abaisse	abaisser	VER	18.04	0
abaisse	abaisse	NOM	0.0	1
abaisse-langue	abaisse-langue	NOM	0.14	1
abaissement	abaissement	NOM	2.16	1
abaissent	abaisser	VER	18.04	0
abaisser	abaisser	VER	18.04	1
abaissera	abaisser	VER	18.04	0
abaisserai	abaisser	VER	18.04	0
abaisseraient	abaisser	VER	18.04	0
abaisserais	abaisser	VER	18.04	0
abaisserait	abaisser	VER	18.04	0
abaisses	abaisser	VER	18.04	0
abaissez	abaisser	VER	18.04	0
abaissons	abaisser	VER	18.04	0
abaissèrent	abaisser	VER	18.04	0
abaissé	abaissé	ADJ	0.74	1
abaissé	abaisser	VER	18.04	0
abaissée	abaisser	VER	18.04	0
abaissée	abaissé	ADJ	0.74	0
abaissées	abaisser	VER	18.04	0
abaissées	abaissé	ADJ	0.74	0
abaissés	abaissé	ADJ	0.74	0
abaissés	abaisser	VER	18.04	0
abalone	abalone	NOM	0.07	1
abalones	abalone	NOM	0.07	0
abandon	abandon	NOM	27.36	1
abandonna	abandonner	VER	128.45	0
abandonnai	abandonner	VER	128.45	0
abandonnaient	abandonner	VER	128.45	0
abandonnais	abandonner	VER	128.45	0
abandonnait	abandonner	VER	128.45	0
abandonnant	abandonner	VER	128.45	0
abandonnas	abandonner	VER	128.45	0
abandonne	abandonner	VER	128.45	0
abandonnent	abandonner	VER	128.45	0
abandonner	abandonner	VER	128.45	1
abandonnera	abandonner	VER	128.45	0
abandonnerai	abandonner	VER	128.45	0
abandonneraient	abandonner	VER	128.45	0
abandonnerais	abandonner	VER	128.45	0
abandonnerait	abandonner	VER	128.45	0
abandonneras	abandonner	VER	128.45	0
abandonnerez	abandonner	VER	128.45	0
abandonneriez	abandonner	VER	128.45	0
abandonnerions	abandonner	VER	128.45	0
abandonnerons	abandonner	VER	128.45	0
abandonneront	abandonner	VER	128.45	0
abandonnes	abandonner	VER	128.45	0
abandonneurs	abandonneur	NOM	0.07	0
abandonnez	abandonner	VER	128.45	0
abandonniez	abandonner	VER	128.45	0
abandonnions	abandonner	VER	128.45	0
abandonnique	abandonnique	ADJ	0.07	1
abandonnons	abandonner	VER	128.45	0
abandonnâmes	abandonner	VER	128.45	0
abandonnât	abandonner	VER	128.45	0
abandonnèrent	abandonner	VER	128.45	0
abandonné	abandonner	VER	128.45	0
abandonné	abandonné	ADJ	24.39	1
abandonnée	abandonné	ADJ	24.39	0
abandonnée	abandonner	VER	128.45	0
abandonnées	abandonner	VER	128.45	0
abandonnées	abandonné	ADJ	24.39	0
abandonnés	abandonner	VER	128.45	0
abandonnés	abandonné	ADJ	24.39	0
abandons	abandon	NOM	27.36	0
abaque	abaque	NOM	0.07	1
abasourdi	abasourdi	ADJ	2.64	1
abasourdi	abasourdir	VER	2.97	0
abasourdie	abasourdir	VER	2.97	0
abasourdie	abasourdi	ADJ	2.64	0
abasourdir	abasourdir	VER	2.97	1
abasourdis	abasourdi	ADJ	2.64	0
abasourdis	abasourdir	VER	2.97	0
abasourdissant	abasourdissant	ADJ	0.07	1
abasourdissants	abasourdissant	ADJ	0.07	0
abat	abat	NOM	1.01	1
abat	abattre	VER	50.61	0
abat-jour	abat-jour	NOM	8.24	1
abat-son	abat-son	NOM	0.27	1
abatage	abatage	NOM	0.07	1
abatis	abatis	NOM	0.88	1
abats	abat	NOM	1.01	0
abats	abattre	VER	50.61	0
abattage	abattage	NOM	1.28	1
abattages	abattage	NOM	1.28	0
abattaient	abattre	VER	50.61	0
abattais	abattre	VER	50.61	0
abattait	abattre	VER	50.61	0
abattant	abattre	VER	50.61	0
abattant	abattant	NOM	0.61	1
abattants	abattant	NOM	0.61	0
abatte	abattre	VER	50.61	0
abattement	abattement	NOM	2.64	1
abattements	abattement	NOM	2.64	0
abattent	abattre	VER	50.61	0
abattes	abattre	VER	50.61	0
abatteur	abatteur	NOM	0.27	1
abatteurs	abatteur	NOM	0.27	0
abattez	abattre	VER	50.61	0
abattiez	abattre	VER	50.61	0
abattions	abattre	VER	50.61	0
abattirent	abattre	VER	50.61	0
abattis	abattis	NOM	1.08	1
abattis	abattre	VER	50.61	0
abattit	abattre	VER	50.61	0
abattoir	abattoir	NOM	4.66	1
abattoirs	abattoir	NOM	4.66	0
abattons	abattre	VER	50.61	0
abattra	abattre	VER	50.61	0
abattrai	abattre	VER	50.61	0
abattraient	abattre	VER	50.61	0
abattrais	abattre	VER	50.61	0
abattrait	abattre	VER	50.61	0
abattras	abattre	VER	50.61	0
abattre	abattre	VER	50.61	1
abattrez	abattre	VER	50.61	0
abattriez	abattre	VER	50.61	0
abattrons	abattre	VER	50.61	0
abattront	abattre	VER	50.61	0
abattu	abattre	VER	50.61	0
abattu	abattu	NOM	1.42	1
abattu	abattu	ADJ	7.09	1
abattue	abattre	VER	50.61	0
abattue	abattu	ADJ	7.09	0
abattues	abattre	VER	50.61	0
abattues	abattu	ADJ	7.09	0
abattures	abatture	NOM	0.14	0
abattus	abattu	ADJ	7.09	0
abattus	abattu	NOM	1.42	0
abattus	abattre	VER	50.61	0
abbatial	abbatial	ADJ	0.61	1
abbatiale	abbatiale	NOM	0.14	1
abbatiale	abbatial	ADJ	0.61	0
abbatiales	abbatial	ADJ	0.61	0
abbaye	abbaye	NOM	3.78	1
abbayes	abbaye	NOM	3.78	0
abbesse	abbé	NOM	33.51	0
abbesses	abbé	NOM	33.51	0
abbé	abbé	NOM	33.51	1
abbés	abbé	NOM	33.51	0
abc	abc	NOM	0.0	1
abcès	abcès	NOM	3.31	1
abdication	abdication	NOM	1.96	1
abdications	abdication	NOM	1.96	0
abdiqua	abdiquer	VER	2.77	0
abdiquai	abdiquer	VER	2.77	0
abdiquaient	abdiquer	VER	2.77	0
abdiquais	abdiquer	VER	2.77	0
abdiquait	abdiquer	VER	2.77	0
abdiquant	abdiquer	VER	2.77	0
abdique	abdiquer	VER	2.77	0
abdiquer	abdiquer	VER	2.77	1
abdiquera	abdiquer	VER	2.77	0
abdiquerais	abdiquer	VER	2.77	0
abdiquerait	abdiquer	VER	2.77	0
abdiquez	abdiquer	VER	2.77	0
abdiqué	abdiquer	VER	2.77	0
abdiquée	abdiquer	VER	2.77	0
abdomen	abdomen	NOM	1.55	1
abdominal	abdominal	ADJ	0.74	1
abdominale	abdominal	ADJ	0.74	0
abdominales	abdominal	ADJ	0.74	0
abdominaux	abdominal	NOM	0.68	0
abdominaux	abdominal	ADJ	0.74	0
abdos	abdos	NOM	0.0	1
abducteur	abducteur	ADJ	0.0	1
abduction	abduction	NOM	0.0	1
abeille	abeille	NOM	9.86	1
abeilles	abeille	NOM	9.86	0
aber	aber	NOM	0.0	1
aberrant	aberrant	ADJ	2.5	1
aberrant	aberrer	VER	0.2	0
aberrante	aberrant	ADJ	2.5	0
aberrantes	aberrant	ADJ	2.5	0
aberrants	aberrant	ADJ	2.5	0
aberration	aberration	NOM	4.46	1
aberrations	aberration	NOM	4.46	0
abhorrais	abhorrer	VER	1.35	0
abhorrait	abhorrer	VER	1.35	0
abhorrant	abhorrer	VER	1.35	0
abhorre	abhorrer	VER	1.35	0
abhorrer	abhorrer	VER	1.35	1
abhorrez	abhorrer	VER	1.35	0
abhorré	abhorré	ADJ	0.27	1
abhorré	abhorrer	VER	1.35	0
abhorrée	abhorrer	VER	1.35	0
abhorrée	abhorré	ADJ	0.27	0
abhorrés	abhorrer	VER	1.35	0
abject	abject	ADJ	3.92	1
abjecte	abject	ADJ	3.92	0
abjectement	abjectement	ADV	0.07	1
abjectes	abject	ADJ	3.92	0
abjection	abjection	NOM	2.3	1
abjections	abjection	NOM	2.3	0
abjects	abject	ADJ	3.92	0
abjurant	abjurer	VER	1.28	0
abjuration	abjuration	NOM	0.47	1
abjurations	abjuration	NOM	0.47	0
abjure	abjurer	VER	1.28	0
abjurer	abjurer	VER	1.28	1
abjurez	abjurer	VER	1.28	0
abjurons	abjurer	VER	1.28	0
abjuré	abjurer	VER	1.28	0
abkhaze	abkhaze	ADJ	0.07	1
ablatif	ablatif	NOM	0.14	1
ablation	ablation	NOM	1.35	1
ablations	ablation	NOM	1.35	0
able	able	NOM	0.14	1
ablette	ablette	NOM	0.95	1
ablettes	ablette	NOM	0.95	0
ablution	ablution	NOM	1.55	1
ablutions	ablution	NOM	1.55	0
abnégation	abnégation	NOM	3.58	1
aboi	aboi	NOM	3.58	1
aboie	aboyer	VER	11.82	0
aboiement	aboiement	NOM	5.95	1
aboiements	aboiement	NOM	5.95	0
aboient	aboyer	VER	11.82	0
aboiera	aboyer	VER	11.82	0
aboierait	aboyer	VER	11.82	0
aboieront	aboyer	VER	11.82	0
aboies	aboyer	VER	11.82	0
abois	aboi	NOM	3.58	0
aboli	abolir	VER	9.32	0
aboli	aboli	ADJ	2.57	1
abolie	aboli	ADJ	2.57	0
abolie	abolir	VER	9.32	0
abolies	aboli	ADJ	2.57	0
abolies	abolir	VER	9.32	0
abolir	abolir	VER	9.32	1
abolira	abolir	VER	9.32	0
abolirait	abolir	VER	9.32	0
aboliras	abolir	VER	9.32	0
abolis	aboli	ADJ	2.57	0
abolis	abolir	VER	9.32	0
abolissaient	abolir	VER	9.32	0
abolissais	abolir	VER	9.32	0
abolissait	abolir	VER	9.32	0
abolissant	abolir	VER	9.32	0
abolissent	abolir	VER	9.32	0
abolissions	abolir	VER	9.32	0
abolissons	abolir	VER	9.32	0
abolit	abolir	VER	9.32	0
abolition	abolition	NOM	1.49	1
abolitionniste	abolitionniste	NOM	0.07	1
abolitionniste	abolitionniste	ADJ	0.07	1
abolitionnistes	abolitionniste	ADJ	0.07	0
abolitionnistes	abolitionniste	NOM	0.07	0
abominable	abominable	ADJ	11.22	1
abominablement	abominablement	ADV	0.68	1
abominables	abominable	ADJ	11.22	0
abominaient	abominer	VER	0.54	0
abomination	abomination	NOM	4.53	1
abominations	abomination	NOM	4.53	0
abomine	abominer	VER	0.54	0
abominer	abominer	VER	0.54	1
abonda	abonder	VER	4.59	0
abondai	abonder	VER	4.59	0
abondaient	abonder	VER	4.59	0
abondais	abonder	VER	4.59	0
abondait	abonder	VER	4.59	0
abondamment	abondamment	ADV	4.93	1
abondance	abondance	NOM	9.39	1
abondant	abondant	ADJ	7.03	1
abondant	abonder	VER	4.59	0
abondante	abondant	ADJ	7.03	0
abondantes	abondant	ADJ	7.03	0
abondants	abondant	ADJ	7.03	0
abondassent	abonder	VER	4.59	0
abonde	abonder	VER	4.59	0
abondent	abonder	VER	4.59	0
abonder	abonder	VER	4.59	1
abondé	abonder	VER	4.59	0
abonnai	abonner	VER	2.09	0
abonnant	abonner	VER	2.09	0
abonne	abonner	VER	2.09	0
abonnement	abonnement	NOM	1.62	1
abonnements	abonnement	NOM	1.62	0
abonner	abonner	VER	2.09	1
abonnez	abonner	VER	2.09	0
abonnât	abonner	VER	2.09	0
abonné	abonner	VER	2.09	0
abonné	abonné	ADJ	0.0	1
abonné	abonné	NOM	2.23	1
abonnée	abonner	VER	2.09	0
abonnée	abonné	ADJ	0.0	0
abonnée	abonné	NOM	2.23	0
abonnées	abonner	VER	2.09	0
abonnées	abonné	NOM	2.23	0
abonnés	abonner	VER	2.09	0
abonnés	abonné	ADJ	0.0	0
abonnés	abonné	NOM	2.23	0
abord	abord	NOM	19.05	1
aborda	aborder	VER	33.18	0
abordable	abordable	ADJ	0.2	1
abordables	abordable	ADJ	0.2	0
abordage	abordage	NOM	1.49	1
abordages	abordage	NOM	1.49	0
abordai	aborder	VER	33.18	0
abordaient	aborder	VER	33.18	0
abordais	aborder	VER	33.18	0
abordait	aborder	VER	33.18	0
abordant	aborder	VER	33.18	0
aborde	aborder	VER	33.18	0
abordent	aborder	VER	33.18	0
aborder	aborder	VER	33.18	1
abordera	aborder	VER	33.18	0
aborderai	aborder	VER	33.18	0
aborderaient	aborder	VER	33.18	0
aborderais	aborder	VER	33.18	0
aborderait	aborder	VER	33.18	0
aborderiez	aborder	VER	33.18	0
aborderions	aborder	VER	33.18	0
aborderons	aborder	VER	33.18	0
aborderont	aborder	VER	33.18	0
abordes	aborder	VER	33.18	0
abordez	aborder	VER	33.18	0
abordiez	aborder	VER	33.18	0
abordions	aborder	VER	33.18	0
abordons	aborder	VER	33.18	0
abords	abord	NOM	19.05	0
abordâmes	aborder	VER	33.18	0
abordèrent	aborder	VER	33.18	0
abordé	aborder	VER	33.18	0
abordé	abordé	ADJ	0.2	1
abordée	aborder	VER	33.18	0
abordées	aborder	VER	33.18	0
abordées	abordé	ADJ	0.2	0
abordés	aborder	VER	33.18	0
abordés	abordé	ADJ	0.2	0
aborigène	aborigène	ADJ	0.07	1
aborigène	aborigène	NOM	0.14	1
aborigènes	aborigène	ADJ	0.07	0
aborigènes	aborigène	NOM	0.14	0
abornement	abornement	NOM	0.07	1
abortif	abortif	ADJ	0.34	1
abortive	abortif	ADJ	0.34	0
abortives	abortif	ADJ	0.34	0
abouchaient	aboucher	VER	0.81	0
abouchais	aboucher	VER	0.81	0
abouchait	aboucher	VER	0.81	0
abouchant	aboucher	VER	0.81	0
abouchements	abouchement	NOM	0.07	0
aboucher	aboucher	VER	0.81	1
abouché	aboucher	VER	0.81	0
abouchée	aboucher	VER	0.81	0
abouchés	aboucher	VER	0.81	0
aboule	abouler	VER	0.61	0
abouler	abouler	VER	0.61	1
aboules	abouler	VER	0.61	0
aboulez	abouler	VER	0.61	0
aboulie	aboulie	NOM	0.14	1
aboulique	aboulique	NOM	0.07	1
abouliques	aboulique	ADJ	0.14	0
abounas	abouna	NOM	0.07	0
about	about	NOM	0.47	1
aboutait	abouter	VER	0.14	0
abouti	abouti	ADJ	0.2	1
abouti	aboutir	VER	25.81	0
aboutie	abouti	ADJ	0.2	0
aboutie	aboutir	VER	25.81	0
aboutir	aboutir	VER	25.81	1
aboutira	aboutir	VER	25.81	0
aboutirai	aboutir	VER	25.81	0
aboutiraient	aboutir	VER	25.81	0
aboutirais	aboutir	VER	25.81	0
aboutirait	aboutir	VER	25.81	0
aboutiras	aboutir	VER	25.81	0
aboutirent	aboutir	VER	25.81	0
aboutirons	aboutir	VER	25.81	0
aboutiront	aboutir	VER	25.81	0
aboutis	abouti	ADJ	0.2	0
aboutis	aboutir	VER	25.81	0
aboutissaient	aboutir	VER	25.81	0
aboutissait	aboutir	VER	25.81	0
aboutissant	aboutir	VER	25.81	0
aboutissant	aboutissant	NOM	0.95	1
aboutissants	aboutissant	NOM	0.95	0
aboutisse	aboutir	VER	25.81	0
aboutissement	aboutissement	NOM	4.05	1
aboutissent	aboutir	VER	25.81	0
aboutissez	aboutir	VER	25.81	0
aboutissiez	aboutir	VER	25.81	0
aboutissions	aboutir	VER	25.81	0
aboutit	aboutir	VER	25.81	0
aboutonnai	aboutonner	VER	0.07	0
aboutons	abouter	VER	0.14	0
aboutîmes	aboutir	VER	25.81	0
aboya	aboyer	VER	11.82	0
aboyaient	aboyer	VER	11.82	0
aboyait	aboyer	VER	11.82	0
aboyant	aboyant	ADJ	0.2	1
aboyant	aboyer	VER	11.82	0
aboyante	aboyant	ADJ	0.2	0
aboyer	aboyer	VER	11.82	1
aboyeur	aboyeur	ADJ	0.14	1
aboyeur	aboyeur	NOM	0.61	1
aboyeurs	aboyeur	ADJ	0.14	0
aboyeurs	aboyeur	NOM	0.61	0
aboyons	aboyer	VER	11.82	0
aboyèrent	aboyer	VER	11.82	0
aboyé	aboyer	VER	11.82	0
abracadabra	abracadabra	NOM	0.27	1
abracadabrant	abracadabrant	ADJ	0.68	1
abracadabrante	abracadabrant	ADJ	0.68	0
abracadabrantes	abracadabrant	ADJ	0.68	0
abracadabrants	abracadabrant	ADJ	0.68	0
abracadabré	abracadabrer	VER	0.0	0
abrasif	abrasif	ADJ	0.27	1
abrasif	abrasif	NOM	0.41	1
abrasifs	abrasif	ADJ	0.27	0
abrasifs	abrasif	NOM	0.41	0
abrasion	abrasion	NOM	0.14	1
abrasive	abrasif	ADJ	0.27	0
abrasé	abraser	VER	0.07	0
abraxas	abraxas	NOM	0.0	1
abreuva	abreuver	VER	6.22	0
abreuvage	abreuvage	NOM	0.07	1
abreuvaient	abreuver	VER	6.22	0
abreuvait	abreuver	VER	6.22	0
abreuvant	abreuver	VER	6.22	0
abreuve	abreuver	VER	6.22	0
abreuvent	abreuver	VER	6.22	0
abreuver	abreuver	VER	6.22	1
abreuvera	abreuver	VER	6.22	0
abreuveraient	abreuver	VER	6.22	0
abreuvez	abreuver	VER	6.22	0
abreuvoir	abreuvoir	NOM	3.92	1
abreuvoirs	abreuvoir	NOM	3.92	0
abreuvons	abreuver	VER	6.22	0
abreuvé	abreuver	VER	6.22	0
abreuvé	abreuvé	ADJ	0.14	1
abreuvée	abreuver	VER	6.22	0
abreuvés	abreuver	VER	6.22	0
abreuvés	abreuvé	ADJ	0.14	0
abri	abri	NOM	56.76	1
abri-refuge	abri-refuge	NOM	0.07	1
abribus	abribus	NOM	0.14	1
abricot	abricot	ADJ	0.68	1
abricot	abricot	NOM	2.5	1
abricotez	abricoter	VER	0.0	0
abricotier	abricotier	NOM	0.41	1
abricotiers	abricotier	NOM	0.41	0
abricotine	abricotine	NOM	0.07	1
abricots	abricot	NOM	2.5	0
abris	abri	NOM	56.76	0
abrita	abriter	VER	26.22	0
abritai	abriter	VER	26.22	0
abritaient	abriter	VER	26.22	0
abritais	abriter	VER	26.22	0
abritait	abriter	VER	26.22	0
abritant	abritant	ADJ	0.0	1
abritant	abriter	VER	26.22	0
abrite	abriter	VER	26.22	0
abritent	abriter	VER	26.22	0
abriter	abriter	VER	26.22	1
abritera	abriter	VER	26.22	0
abriterait	abriter	VER	26.22	0
abriterons	abriter	VER	26.22	0
abriteront	abriter	VER	26.22	0
abrites	abriter	VER	26.22	0
abritez	abriter	VER	26.22	0
abritiez	abriter	VER	26.22	0
abritions	abriter	VER	26.22	0
abritons	abriter	VER	26.22	0
abritâmes	abriter	VER	26.22	0
abritèrent	abriter	VER	26.22	0
abrité	abriter	VER	26.22	0
abrité	abrité	ADJ	1.08	1
abritée	abriter	VER	26.22	0
abritée	abrité	ADJ	1.08	0
abritées	abriter	VER	26.22	0
abrités	abriter	VER	26.22	0
abrités	abrité	ADJ	1.08	0
abrogation	abrogation	NOM	0.14	1
abrogent	abroger	VER	0.34	0
abroger	abroger	VER	0.34	1
abrogé	abroger	VER	0.34	0
abrogé	abrogé	ADJ	0.0	1
abrogée	abroger	VER	0.34	0
abrogées	abroger	VER	0.34	0
abrogés	abroger	VER	0.34	0
abrupt	abrupt	ADJ	7.43	1
abrupt	abrupt	NOM	0.47	1
abrupte	abrupt	ADJ	7.43	0
abruptement	abruptement	ADV	2.03	1
abruptes	abrupt	ADJ	7.43	0
abrupts	abrupt	ADJ	7.43	0
abrupts	abrupt	NOM	0.47	0
abruti	abruti	ADJ	4.66	1
abruti	abruti	NOM	6.69	1
abruti	abrutir	VER	6.01	0
abrutie	abruti	ADJ	4.66	0
abrutie	abruti	NOM	6.69	0
abrutie	abrutir	VER	6.01	0
abruties	abruti	ADJ	4.66	0
abruties	abruti	NOM	6.69	0
abruties	abrutir	VER	6.01	0
abrutir	abrutir	VER	6.01	1
abrutira	abrutir	VER	6.01	0
abrutis	abruti	ADJ	4.66	0
abrutis	abruti	NOM	6.69	0
abrutis	abrutir	VER	6.01	0
abrutissaient	abrutir	VER	6.01	0
abrutissais	abrutir	VER	6.01	0
abrutissait	abrutir	VER	6.01	0
abrutissant	abrutir	VER	6.01	0
abrutissant	abrutissant	ADJ	0.41	1
abrutissante	abrutissant	ADJ	0.41	0
abrutissantes	abrutissant	ADJ	0.41	0
abrutissants	abrutissant	ADJ	0.41	0
abrutissement	abrutissement	NOM	1.42	1
abrutissent	abrutir	VER	6.01	0
abrutisseur	abrutisseur	NOM	0.07	1
abrutissions	abrutir	VER	6.01	0
abrutit	abrutir	VER	6.01	0
abrège	abréger	VER	4.86	0
abrègent	abréger	VER	4.86	0
abrégea	abréger	VER	4.86	0
abrégeai	abréger	VER	4.86	0
abrégeaient	abréger	VER	4.86	0
abrégeait	abréger	VER	4.86	0
abrégeant	abréger	VER	4.86	0
abrégeons	abréger	VER	4.86	0
abréger	abréger	VER	4.86	1
abrégera	abréger	VER	4.86	0
abrégerai	abréger	VER	4.86	0
abrégerait	abréger	VER	4.86	0
abrégez	abréger	VER	4.86	0
abrégeât	abréger	VER	4.86	0
abrégé	abréger	VER	4.86	0
abrégé	abrégé	ADJ	0.41	1
abrégé	abrégé	NOM	0.54	1
abrégée	abréger	VER	4.86	0
abrégée	abrégé	ADJ	0.41	0
abrégés	abrégé	ADJ	0.41	0
abrégés	abrégé	NOM	0.54	0
abréviatif	abréviatif	ADJ	0.07	1
abréviation	abréviation	NOM	0.95	1
abréviations	abréviation	NOM	0.95	0
abscisse	abscisse	NOM	0.0	1
abscission	abscission	NOM	0.07	1
abscons	abscons	ADJ	0.68	1
absconse	abscons	ADJ	0.68	0
absconses	abscons	ADJ	0.68	0
absence	absence	NOM	76.28	1
absences	absence	NOM	76.28	0
absent	absent	ADJ	29.8	1
absent	absent	NOM	5.81	1
absenta	absenter	VER	6.01	0
absentai	absenter	VER	6.01	0
absentaient	absenter	VER	6.01	0
absentais	absenter	VER	6.01	0
absentait	absenter	VER	6.01	0
absentant	absenter	VER	6.01	0
absente	absent	ADJ	29.8	0
absente	absent	NOM	5.81	0
absente	absenter	VER	6.01	0
absenter	absenter	VER	6.01	1
absentera	absenter	VER	6.01	0
absenterai	absenter	VER	6.01	0
absenterait	absenter	VER	6.01	0
absentes	absent	ADJ	29.8	0
absentes	absent	NOM	5.81	0
absentes	absenter	VER	6.01	0
absents	absent	ADJ	29.8	0
absents	absent	NOM	5.81	0
absentèrent	absenter	VER	6.01	0
absenté	absenter	VER	6.01	0
absentée	absenter	VER	6.01	0
absentéisme	absentéisme	NOM	0.2	1
absentéiste	absentéiste	ADJ	0.0	1
absentéiste	absentéiste	NOM	0.0	1
absentés	absenter	VER	6.01	0
abside	abside	NOM	1.62	1
absides	abside	NOM	1.62	0
absidiales	absidial	ADJ	0.14	0
absidiole	absidiole	NOM	0.07	1
absinthant	absinther	VER	0.07	0
absinthe	absinthe	NOM	2.91	1
absolu	absolu	ADJ	34.39	1
absolu	absolu	NOM	7.23	1
absolue	absolu	ADJ	34.39	0
absolues	absolu	ADJ	34.39	0
absolument	absolument	ADV	63.45	1
absolus	absolu	ADJ	34.39	0
absolus	absolu	NOM	7.23	0
absolution	absolution	NOM	2.5	1
absolutisme	absolutisme	NOM	0.68	1
absolvaient	absoudre	VER	3.72	0
absolvait	absoudre	VER	3.72	0
absolvant	absolvant	ADJ	0.14	1
absolve	absoudre	VER	3.72	0
absolvent	absoudre	VER	3.72	0
absolves	absoudre	VER	3.72	0
absorba	absorber	VER	28.65	0
absorbables	absorbable	ADJ	0.07	0
absorbai	absorber	VER	28.65	0
absorbaient	absorber	VER	28.65	0
absorbais	absorber	VER	28.65	0
absorbait	absorber	VER	28.65	0
absorbant	absorbant	ADJ	1.35	1
absorbant	absorbant	NOM	0.14	1
absorbant	absorber	VER	28.65	0
absorbante	absorbant	ADJ	1.35	0
absorbantes	absorbant	ADJ	1.35	0
absorbants	absorbant	ADJ	1.35	0
absorbe	absorber	VER	28.65	0
absorbent	absorber	VER	28.65	0
absorber	absorber	VER	28.65	1
absorbera	absorber	VER	28.65	0
absorberai	absorber	VER	28.65	0
absorberaient	absorber	VER	28.65	0
absorberait	absorber	VER	28.65	0
absorbeur	absorbeur	NOM	0.0	1
absorbez	absorber	VER	28.65	0
absorbions	absorber	VER	28.65	0
absorbons	absorber	VER	28.65	0
absorbèrent	absorber	VER	28.65	0
absorbé	absorber	VER	28.65	0
absorbé	absorbé	ADJ	3.72	1
absorbée	absorber	VER	28.65	0
absorbée	absorbé	ADJ	3.72	0
absorbées	absorber	VER	28.65	0
absorbées	absorbé	ADJ	3.72	0
absorbés	absorber	VER	28.65	0
absorbés	absorbé	ADJ	3.72	0
absorption	absorption	NOM	2.03	1
absorptions	absorption	NOM	2.03	0
absoudrai	absoudre	VER	3.72	0
absoudrait	absoudre	VER	3.72	0
absoudre	absoudre	VER	3.72	1
absoudriez	absoudre	VER	3.72	0
absous	absoudre	VER	3.72	0
absous	absous	ADJ	0.68	1
absout	absoudre	VER	3.72	0
absoute	absoudre	VER	3.72	0
absoute	absoute	ADJ	0.07	1
absoute	absoute	NOM	0.14	1
absoutes	absoudre	VER	3.72	0
abstenaient	abstenir	VER	8.78	0
abstenais	abstenir	VER	8.78	0
abstenait	abstenir	VER	8.78	0
abstenant	abstenir	VER	8.78	0
abstenez	abstenir	VER	8.78	0
absteniez	abstenir	VER	8.78	0
abstenions	abstenir	VER	8.78	0
abstenir	abstenir	VER	8.78	1
abstenons	abstenir	VER	8.78	0
abstention	abstention	NOM	1.28	1
abstentionniste	abstentionniste	NOM	0.14	1
abstentionnistes	abstentionniste	NOM	0.14	0
abstenu	abstenir	VER	8.78	0
abstenue	abstenir	VER	8.78	0
abstenue	abstenu	ADJ	0.0	0
abstenues	abstenir	VER	8.78	0
abstenus	abstenir	VER	8.78	0
abstiendrai	abstenir	VER	8.78	0
abstiendraient	abstenir	VER	8.78	0
abstiendrais	abstenir	VER	8.78	0
abstiendrait	abstenir	VER	8.78	0
abstiendras	abstenir	VER	8.78	0
abstiendrions	abstenir	VER	8.78	0
abstiendrons	abstenir	VER	8.78	0
abstiendront	abstenir	VER	8.78	0
abstienne	abstenir	VER	8.78	0
abstiennent	abstenir	VER	8.78	0
abstiennes	abstenir	VER	8.78	0
abstiens	abstenir	VER	8.78	0
abstient	abstenir	VER	8.78	0
abstinence	abstinence	NOM	1.62	1
abstinences	abstinence	NOM	1.62	0
abstinent	abstinent	ADJ	0.0	1
abstinente	abstinent	ADJ	0.0	0
abstinrent	abstenir	VER	8.78	0
abstins	abstenir	VER	8.78	0
abstint	abstenir	VER	8.78	0
abstraction	abstraction	NOM	2.97	1
abstractions	abstraction	NOM	2.97	0
abstraire	abstraire	VER	3.18	1
abstrais	abstraire	VER	3.18	0
abstrait	abstraire	VER	3.18	0
abstrait	abstrait	ADJ	11.35	1
abstrait	abstrait	NOM	1.35	1
abstraite	abstraire	VER	3.18	0
abstraite	abstrait	ADJ	11.35	0
abstraitement	abstraitement	ADV	0.34	1
abstraites	abstraire	VER	3.18	0
abstraites	abstrait	ADJ	11.35	0
abstraits	abstraire	VER	3.18	0
abstraits	abstrait	ADJ	11.35	0
abstraits	abstrait	NOM	1.35	0
abstrus	abstrus	ADJ	0.61	1
abstruse	abstrus	ADJ	0.61	0
abstruses	abstrus	ADJ	0.61	0
abstînt	abstenir	VER	8.78	0
absurde	absurde	ADJ	30.95	1
absurde	absurde	NOM	4.93	1
absurdement	absurdement	ADV	3.72	1
