ortho	lemme	cgram	freq	is_lem
thanks	thanks	ETRANGER	1.0	0
that	that	ETRANGER	12.0	1
the	the	ETRANGER	19.0	1
The Crazy One	Earl V. Shaffer	NOM_PROPRE	1.0	0
The Hearn Inn	The Hearn Inn	NOM_PROPRE	1.0	1
there	there	ETRANGER	8.0	0
Thierry	Thierry	NOM_PROPRE	2.0	1
things	thing	ETRANGER	1.0	0
think	think	ETRANGER	1.0	1
this	this	ETRANGER	4.0	1
Thoreau	Thoreau	NOM_PROPRE	1.0	1
those	those	ETRANGER	1.0	1
thru	thru	ETRANGER	1.0	1
thru-hike	thru-hike	ETRANGER	6.0	1
thru-hiker	thru-hiker	ETRANGER	5.0	1
thru-hikers	thru-hiker	ETRANGER	6.0	0
thru-hikes	thru-hike	ETRANGER	1.0	0
tick	tick	ETRANGER	1.0	1
ticks	tick	ETRANGER	1.0	0
Tigger	Tigger	NOM_PROPRE	2.0	1
time	time	ETRANGER	2.0	1
TN	Tennessee	NOM_PROPRE	1.0	1
TOC	TOC	ACRONYME	17.0	1
together	together	ETRANGER	2.0	1
toilet	toilet	ETRANGER	1.0	1
Tolkien	Tolkien	NOM_PROPRE	1.0	1
Tom Hanks	Tom Hanks	NOM_PROPRE	1.0	1
tonight	tonight	ETRANGER	2.0	1
Total Recall	Total Recall	NOM_PROPRE	1.0	1
tractées	tracter	VER	1.0	0
trail	trail	NOM	27.0	1
trailer	traileur	NOM	1.0	0
trailers	traileur	NOM	1.0	0
traileur	traileur	NOM	1.0	1
traileurs	traileur	NOM	3.0	0
traileuse	traileur	NOM	2.0	0
traileuses	traileur	NOM	2.0	0
trailhead	trailhead	ETRANGER	3.0	1
trails	trail	NOM	12.0	0
trainers	trainers	ETRANGER	2.0	1
Trainspotting	Trainspotting	NOM_PROPRE	1.0	1
Transcanadien	Transcanadien	NOM_PROPRE	1.0	1
triathlètes	triathlète	NOM	1.0	0
tribe	tribe	ETRANGER	1.0	1
trumpiste	trumpiste	ADJ	1.0	1
try	try	ETRANGER	1.0	1
trying	try	ETRANGER	1.0	0
Turquie	Turquie	NOM_PROPRE	1.0	1
turtle	turtle	ETRANGER	1.0	1
turtles	turtle	ETRANGER	1.0	0
two	two	ETRANGER	1.0	1
Uber	Uber	NOM_PROPRE	2.0	1
Uh	Uh	ONO	1.0	1
ui	oui	ADV	1.0	0
Ultimate XC	Ultimate XC	NOM_PROPRE	2.0	1
Ultra Run Rarámuri	Ultra Run Rarámuri	NOM_PROPRE	4.0	1
Ultra-Trail du mont Blanc	Ultra-Trail du mont Blanc	NOM_PROPRE	2.0	1
Ultra-Trail Harricana	Ultra-Trail Harricana du Canada	NOM_PROPRE	1.0	0
Ultra-Trail Harricana du Canada	Ultra-Trail Harricana du Canada	NOM_PROPRE	1.0	1
ultramarathon	ultramarathon	NOM	2.0	1
ultramarathonien	ultramarathonien	NOM	3.0	1
ultramarathonienne	ultramarathonien	NOM	1.0	0
ultramarathoniennes	ultramarathonien	NOM	1.0	0
ultramarathoniens	ultramarathonien	NOM	1.0	0
ultramarathons	ultramarathon	NOM	4.0	0
ultratrail	ultratrail	NOM	1.0	1
ultratrails	ultratrail	NOM	1.0	0
universitairement	universitairement	ADV	1.0	1
unless	unless	ETRANGER	1.0	1
up	up	ETRANGER	1.0	1
USB	USB	ACRONYME	2.0	1
usual	usual	ETRANGER	1.0	0
UTHC	Ultra-Trail Harricana du Canada	NOM_PROPRE	2.0	0
UTMB	Ultra-Trail du mont Blanc	NOM_PROPRE	9.0	0
uto	uto	ADJ	1.0	1
UV	UV	ACRONYME	1.0	1
Vancouver	Vancouver	NOM_PROPRE	2.0	1
Vanessa	Vanessa Morales	NOM_PROPRE	1.0	0
Vanessa Morales	Vanessa Morales	NOM_PROPRE	1.0	1
Vermont	Vermont	NOM_PROPRE	4.0	1
vermontois	vermontois	ADJ	1.0	1
vermontoise	vermontois	ADJ	1.0	0
victim	victim	ETRANGER	1.0	1
victory	victory	ETRANGER	1.0	1
Vietnam	Vietnam	NOM_PROPRE	2.0	1
Vincent	Vincent	NOM_PROPRE	14.0	1
visit	visit	ETRANGER	1.0	1
waffle	waffle	ETRANGER	1.0	0
walk	walk	ETRANGER	1.0	1
Walking	Walking	NOM_PROPRE	2.0	1
wall	wall	ETRANGER	1.0	1
wanted	wanted	ETRANGER	1.0	1
Warner Bros	Warner Bros	NOM_PROPRE	1.0	1
was	was	ETRANGER	2.0	1
way	way	ETRANGER	1.0	1
we	we	ETRANGER	6.0	1
Webwalker	Scott Jurek	NOM_PROPRE	3.0	0
weird	weird	ETRANGER	3.0	1
welcome	welcome	ETRANGER	1.0	1
well	well	ETRANGER	1.0	1
Wendy	Wendy	NOM_PROPRE	1.0	1
what	What	ETRANGER	3.0	1
White Springs	White Springs	NOM_PROPRE	4.0	1
who	who	ETRANGER	1.0	1
why	why	ETRANGER	1.0	1
wifi	wifi	NOM	2.0	1
wilderness	wilderness	ETRANGER	2.0	1
will	will	ETRANGER	1.0	1
win	win	ETRANGER	1.0	1
with	with	ETRANGER	3.0	0
work-for-stay	work-for-stay	ETRANGER	1.0	1
world	world	ETRANGER	2.0	0
wouhou	wouhou	ONO	1.0	1
would	would	ETRANGER	3.0	1
wouldn	would	ETRANGER	1.0	0
woush	woush	ONO	3.0	1
wow	wow	ONO	3.0	1
wrap	wrap	NOM	1.0	1
written	write	ETRANGER	1.0	0
WS100	WS100	ACRONYME	1.0	1
XIXe	XIXe	NOM_PROPRE	1.0	1
XVe	XVe	NOM_PROPRE	1.0	1
XVIe	XVIe	NOM_PROPRE	1.0	1
XXe	XXe	NOM_PROPRE	1.0	1
XXL	XXL	ACRONYME	1.0	1
Year	Year	NOM_PROPRE	1.0	1
yes	yes	ETRANGER	4.0	1
yesterday	yesterday	ETRANGER	2.0	1
Yo	Yo	NOM_PROPRE	1.0	1
you	you	ETRANGER	20.0	1
your	your	ETRANGER	7.0	1
yourself	yourself	ETRANGER	1.0	1
Yukon	Yukon	NOM_PROPRE	2.0	1
YUL	YUL	ACRONYME	2.0	1
zero	zero	ETRANGER	2.0	1
Ziploc	Ziploc	NOM_PROPRE	1.0	1
